"Tabela 1685 - Unidades locais, empresas e outras organizações atuantes, pessoal ocupado total, pessoal ocupado assalariado, pessoal assalariado médio, salários e outras remunerações e salário médio mensal"
"Município","Ano","Variável"
"Município","Ano","Número de unidades locais (Unidades)","Número de empresas e outras organizações atuantes (Unidades)","Pessoal ocupado total (Pessoas)","Pessoal ocupado assalariado (Pessoas)","Pessoal assalariado médio (Pessoas)","Salários e outras remunerações (Mil Reais)","Salário médio mensal (Salários mínimos)","Salário médio mensal em reais (Reais)"
"Alta Floresta D'Oeste (RO)","2018","521","513","3271","2584","2557.86","57902","1.8","1741.31"
"Ariquemes (RO)","2018","2507","2407","19886","16578","16683.88","422650","2.0","1948.68"
"Cabixi (RO)","2018","79","77","607","535","540.03","11744","1.8","1672.78"
"Cacoal (RO)","2018","2230","2139","19942","16815","17093.05","431101","2.0","1940.07"
"Cerejeiras (RO)","2018","389","377","2482","2044","2076.75","52751","2.0","1953.89"
"Colorado do Oeste (RO)","2018","307","303","2401","2071","2109.42","46829","1.8","1707.68"
"Corumbiara (RO)","2018","109","109","860","715","715.59","17211","1.9","1850.09"
"Costa Marques (RO)","2018","193","189","996","835","843.45","19267","1.8","1757.20"
"Espigão D'Oeste (RO)","2018","621","614","5301","4510","4528.86","108362","1.9","1840.54"
"Guajará-Mirim (RO)","2018","680","656","4504","3856","3868.91","96412","2.0","1916.90"
"Jaru (RO)","2018","1121","1084","10714","9329","9327.81","226465","2.0","1867.57"
"Ji-Paraná (RO)","2018","3593","3366","32394","27929","27691.41","689239","2.0","1914.62"
"Machadinho D'Oeste (RO)","2018","429","419","3527","3030","2959.06","68782","1.9","1788.04"
"Nova Brasilândia D'Oeste (RO)","2018","254","252","1868","1540","1595.87","36971","1.9","1782.06"
"Ouro Preto do Oeste (RO)","2018","744","727","6254","5316","5502.33","135929","2.0","1900.30"
"Pimenta Bueno (RO)","2018","1028","999","8946","7683","7764.74","185099","1.9","1833.72"
"Porto Velho (RO)","2018","10229","9476","168229","156811","159854.61","6718678","3.4","3233.07"
"Presidente Médici (RO)","2018","367","363","2698","2304","2384.83","55592","1.9","1793.13"
"Rio Crespo (RO)","2018","41","41","440","401","400.17","10404","2.1","1999.87"
"Rolim de Moura (RO)","2018","1255","1228","12383","10618","10408.79","239705","1.9","1771.47"
"Santa Luzia D'Oeste (RO)","2018","111","110","840","714","734.73","15872","1.7","1661.73"
"Vilhena (RO)","2018","2885","2771","22613","18946","18909.01","491049","2.1","1997.62"
"São Miguel do Guaporé (RO)","2018","332","321","3604","3237","3188.38","73025","1.8","1761.81"
"Nova Mamoré (RO)","2018","275","260","2020","1715","1705.23","38441","1.8","1734.10"
"Alvorada D'Oeste (RO)","2018","213","210","1497","1245","1211.60","24516","1.6","1556.50"
"Alto Alegre dos Parecis (RO)","2018","163","161","1100","899","935.95","21361","1.8","1755.58"
"Alto Paraíso (RO)","2018","212","211","1455","1183","1254.01","30533","2.0","1872.95"
"Buritis (RO)","2018","575","566","3934","3167","3423.07","81645","1.9","1834.72"
"Novo Horizonte do Oeste (RO)","2018","125","121","929","787","784.71","17531","1.8","1718.49"
"Cacaulândia (RO)","2018","53","53","475","432","427.24","11091","2.1","1996.87"
"Campo Novo de Rondônia (RO)","2018","133","131","920","779","835.85","23109","2.2","2126.69"
"Candeias do Jamari (RO)","2018","271","270","2228","1935","2027.35","49992","2.0","1896.83"
"Castanheiras (RO)","2018","25","25","437","405","390.21","25778","5.3","5081.71"
"Chupinguaia (RO)","2018","204","198","2554","2288","2183.81","54756","2.0","1928.74"
"Cujubim (RO)","2018","273","271","1504","1200","1347.19","34029","2.0","1943.01"
"Governador Jorge Teixeira (RO)","2018","80","78","787","705","687.95","14135","1.7","1580.49"
"Itapuã do Oeste (RO)","2018","130","128","1199","1086","1117.10","27499","2.0","1893.59"
"Ministro Andreazza (RO)","2018","118","117","945","795","809.26","18347","1.8","1743.92"
"Mirante da Serra (RO)","2018","226","223","1395","1245","1252.71","24424","1.6","1499.76"
"Monte Negro (RO)","2018","185","181","1451","1238","1223.84","24728","1.6","1554.23"
"Nova União (RO)","2018","131","131","663","518","538.23","10535","1.6","1505.61"
"Parecis (RO)","2018","48","46","481","430","429.65","10249","1.9","1834.97"
"Pimenteiras do Oeste (RO)","2018","30","28","343","326","322.81","7615","1.9","1814.56"
"Primavera de Rondônia (RO)","2018","34","34","355","324","315.89","6472","1.7","1575.93"
"São Felipe D'Oeste (RO)","2018","67","65","543","452","453.17","9484","1.7","1609.84"
"São Francisco do Guaporé (RO)","2018","364","357","1724","1346","1388.31","30101","1.7","1667.82"
"Seringueiras (RO)","2018","157","152","1307","1150","1149.45","26558","1.9","1777.30"
"Teixeirópolis (RO)","2018","50","50","525","453","440.45","9668","1.8","1688.51"
"Theobroma (RO)","2018","79","78","809","727","734.53","17250","1.9","1806.51"
"Urupá (RO)","2018","167","165","1518","1183","1150.14","25341","1.8","1694.81"
"Vale do Anari (RO)","2018","82","82","777","695","717.71","17344","1.9","1858.92"
"Vale do Paraíso (RO)","2018","75","73","688","598","605.66","12605","1.7","1600.97"
"Acrelândia (AC)","2018","115","115","869","761","796.81","19434","2.0","1876.10"
"Assis Brasil (AC)","2018","49","49","439","391","380.00","10283","2.2","2081.53"
"Brasiléia (AC)","2018","240","238","2396","2156","2104.43","47815","1.8","1747.79"
"Bujari (AC)","2018","62","62","1407","1345","1416.91","28574","1.6","1551.24"
"Capixaba (AC)","2018","52","52","538","488","500.19","15090","2.4","2320.60"
"Cruzeiro do Sul (AC)","2018","1047","971","9267","8220","8468.39","190451","1.8","1729.97"
"Epitaciolândia (AC)","2018","195","194","1624","1431","1400.57","28037","1.6","1539.87"
"Feijó (AC)","2018","205","200","2043","1862","1833.77","38578","1.7","1618.27"
"Jordão (AC)","2018","21","20","502","490","504.23","9291","1.5","1417.38"
"Mâncio Lima (AC)","2018","91","86","924","870","890.00","18383","1.7","1588.86"
"Manoel Urbano (AC)","2018","46","45","597","564","616.06","17553","2.3","2191.71"
"Marechal Thaumaturgo (AC)","2018","26","24","1191","1177","1158.02","22485","1.6","1493.58"
"Plácido de Castro (AC)","2018","111","108","1395","1292","1255.85","27234","1.7","1668.16"
"Porto Walter (AC)","2018","19","18","636","620","673.02","12150","1.5","1388.66"
"Rio Branco (AC)","2018","5600","5177","103258","97533","99947.12","4176130","3.4","3214.11"
"Rodrigues Alves (AC)","2018","36","35","859","825","804.79","18579","1.9","1775.80"
"Santa Rosa do Purus (AC)","2018","11","11","255","249","248.62","6602","2.1","2042.65"
"Senador Guiomard (AC)","2018","165","163","1668","1516","1670.73","38405","1.9","1768.23"
