"Tabela 2030 - Pessoas de 10 anos ou mais de idade, por classes de rendimento nominal mensal - Resultados Gerais da Amostra"
"Variável - Pessoas de 10 anos ou mais de idade (Pessoas)"
"Município","Ano","Classes de rendimento nominal mensal"
"Município","Ano","Total","Até 1 salário mínimo","Mais de 1 a 2 salários mínimos","Mais de 2 a 3 salários mínimos","Mais de 3 a 5 salários mínimos","Mais de 5 a 10 salários mínimos","Mais de 10 a 20 salários mínimos","Mais de 20 salários mínimos","Sem rendimento"
"Alta Floresta D'Oeste (RO)","2010","20434","7202","3525","855","732","345","76","39","7662"
"Ariquemes (RO)","2010","74725","19934","17050","5436","4066","2656","604","377","24602"
"Cabixi (RO)","2010","5291","2033","856","241","195","77","37","10","1841"
"Cacoal (RO)","2010","66376","18968","13879","4662","3676","2295","677","326","21893"
"Cerejeiras (RO)","2010","14454","5565","2518","888","776","284","81","51","4290"
"Colorado do Oeste (RO)","2010","15769","5493","2878","934","683","365","87","20","5311"
"Corumbiara (RO)","2010","7419","2990","1248","441","180","110","24","10","2417"
"Costa Marques (RO)","2010","10775","3825","1760","461","302","220","26","9","4171"
"Espigão D'Oeste (RO)","2010","23897","7812","4915","1364","1097","746","176","51","7736"
"Guajará-Mirim (RO)","2010","33017","9755","5616","1576","1577","1079","239","58","13118"
"Jaru (RO)","2010","43210","13158","8745","2741","2153","1415","291","83","14624"
"Ji-Paraná (RO)","2010","97571","25578","22446","7244","5941","3639","1133","448","31143"
"Machadinho D'Oeste (RO)","2010","25126","8383","4043","1375","895","400","114","37","9879"
"Nova Brasilândia D'Oeste (RO)","2010","16720","7159","2660","660","599","291","64","110","5178"
"Ouro Preto do Oeste (RO)","2010","31910","10258","6666","2021","1468","1019","236","92","10151"
"Pimenta Bueno (RO)","2010","28322","8281","6991","2146","1387","868","322","185","8143"
"Porto Velho (RO)","2010","356826","68777","76824","32405","25654","20218","6816","3077","123055"
"Presidente Médici (RO)","2010","18860","6875","3427","975","784","566","114","32","6087"
"Rio Crespo (RO)","2010","2721","855","527","109","62","45","9","9","1105"
"Rolim de Moura (RO)","2010","42660","14374","9130","2530","2376","1322","362","102","12463"
"Santa Luzia D'Oeste (RO)","2010","7559","2849","1320","425","248","170","19","23","2506"
"Vilhena (RO)","2010","63430","17428","13983","5517","4840","2775","695","428","17764"
"São Miguel do Guaporé (RO)","2010","17893","6225","2592","816","509","275","62","75","7338"
"Nova Mamoré (RO)","2010","17778","6501","2883","837","495","244","62","30","6725"
"Alvorada D'Oeste (RO)","2010","14059","5515","2421","637","541","235","84","38","4588"
"Alto Alegre dos Parecis (RO)","2010","10425","3879","1406","458","329","157","10","4","4181"
"Alto Paraíso (RO)","2010","14005","5840","2561","855","545","264","58","37","3844"
"Buritis (RO)","2010","26103","8904","5339","1445","859","512","163","32","8849"
"Novo Horizonte do Oeste (RO)","2010","8628","3265","1066","352","221","99","10","-","3615"
"Cacaulândia (RO)","2010","4694","1651","791","216","215","94","19","12","1696"
"Campo Novo de Rondônia (RO)","2010","10084","3159","1756","508","226","172","35","38","4192"
"Candeias do Jamari (RO)","2010","15803","4430","3239","900","772","388","67","13","5993"
"Castanheiras (RO)","2010","3034","1096","509","126","123","75","6","5","1093"
"Chupinguaia (RO)","2010","6699","1868","1646","483","268","128","21","13","2272"
"Cujubim (RO)","2010","12508","3700","2499","789","608","354","85","29","4444"
"Governador Jorge Teixeira (RO)","2010","8706","3338","1228","314","224","139","5","12","3448"
"Itapuã do Oeste (RO)","2010","6887","2427","1397","387","281","109","11","6","2270"
"Ministro Andreazza (RO)","2010","8531","2699","1291","420","353","162","30","23","3554"
"Mirante da Serra (RO)","2010","9809","3918","1528","379","384","199","22","42","3337"
"Monte Negro (RO)","2010","11419","3566","2502","704","403","180","53","13","3998"
"Nova União (RO)","2010","6228","2380","871","248","183","88","19","2","2437"
"Parecis (RO)","2010","3906","1077","581","241","103","54","6","7","1837"
"Pimenteiras do Oeste (RO)","2010","1853","638","345","133","109","37","11","1","577"
"Primavera de Rondônia (RO)","2010","2977","1044","485","133","149","71","8","4","1084"
"São Felipe D'Oeste (RO)","2010","5114","2203","837","213","134","51","9","5","1661"
"São Francisco do Guaporé (RO)","2010","12952","4601","2081","617","534","314","94","16","4696"
"Seringueiras (RO)","2010","9524","3678","1348","389","236","134","11","22","3707"
"Teixeirópolis (RO)","2010","4138","1587","749","235","168","109","8","3","1279"
"Theobroma (RO)","2010","8774","3154","1427","311","259","96","33","22","3472"
"Urupá (RO)","2010","10813","4090","1527","485","349","152","20","12","4178"
"Vale do Anari (RO)","2010","7633","2957","956","298","272","161","42","9","2939"
