"Tabela 6579 - População residente estimada"
"Município","Ano","Variável"
"Município","Ano","População residente estimada (Pessoas)"
"Alta Floresta D'Oeste (RO)","2018","23167"
"Ariquemes (RO)","2018","106168"
"Cabixi (RO)","2018","5438"
"Cacoal (RO)","2018","84813"
"Cerejeiras (RO)","2018","16444"
"Colorado do Oeste (RO)","2018","16227"
"Corumbiara (RO)","2018","7567"
"Costa Marques (RO)","2018","17855"
"Espigão D'Oeste (RO)","2018","32047"
"Guajará-Mirim (RO)","2018","45783"
"Jaru (RO)","2018","51933"
"Ji-Paraná (RO)","2018","127907"
"Machadinho D'Oeste (RO)","2018","39097"
"Nova Brasilândia D'Oeste (RO)","2018","20459"
"Ouro Preto do Oeste (RO)","2018","36340"
"Pimenta Bueno (RO)","2018","36434"
"Porto Velho (RO)","2018","519531"
"Presidente Médici (RO)","2018","19409"
"Rio Crespo (RO)","2018","3723"
"Rolim de Moura (RO)","2018","54702"
"Santa Luzia D'Oeste (RO)","2018","6781"
"Vilhena (RO)","2018","97448"
"São Miguel do Guaporé (RO)","2018","22931"
"Nova Mamoré (RO)","2018","29757"
"Alvorada D'Oeste (RO)","2018","14722"
"Alto Alegre dos Parecis (RO)","2018","13227"
"Alto Paraíso (RO)","2018","20999"
"Buritis (RO)","2018","38937"
"Novo Horizonte do Oeste (RO)","2018","8751"
"Cacaulândia (RO)","2018","6190"
"Campo Novo de Rondônia (RO)","2018","14009"
"Candeias do Jamari (RO)","2018","25983"
"Castanheiras (RO)","2018","3119"
"Chupinguaia (RO)","2018","10886"
"Cujubim (RO)","2018","24226"
"Governador Jorge Teixeira (RO)","2018","8095"
"Itapuã do Oeste (RO)","2018","10272"
"Ministro Andreazza (RO)","2018","9762"
"Mirante da Serra (RO)","2018","11080"
"Monte Negro (RO)","2018","15695"
"Nova União (RO)","2018","7047"
"Parecis (RO)","2018","5947"
"Pimenteiras do Oeste (RO)","2018","2191"
"Primavera de Rondônia (RO)","2018","2939"
"São Felipe D'Oeste (RO)","2018","5280"
"São Francisco do Guaporé (RO)","2018","19842"
"Seringueiras (RO)","2018","11860"
"Teixeirópolis (RO)","2018","4384"
"Theobroma (RO)","2018","10494"
"Urupá (RO)","2018","11665"
"Vale do Anari (RO)","2018","11028"
"Vale do Paraíso (RO)","2018","6998"
"Acrelândia (AC)","2018","15020"
"Assis Brasil (AC)","2018","7300"
"Brasiléia (AC)","2018","25848"
"Bujari (AC)","2018","10111"
"Capixaba (AC)","2018","11456"
"Cruzeiro do Sul (AC)","2018","87673"
"Epitaciolândia (AC)","2018","18122"
"Feijó (AC)","2018","34675"
"Jordão (AC)","2018","8159"
"Mâncio Lima (AC)","2018","18638"
"Manoel Urbano (AC)","2018","9336"
"Marechal Thaumaturgo (AC)","2018","18430"
"Plácido de Castro (AC)","2018","19565"
"Porto Walter (AC)","2018","11720"
"Rio Branco (AC)","2018","401155"
"Rodrigues Alves (AC)","2018","18504"
"Santa Rosa do Purus (AC)","2018","6362"
"Senador Guiomard (AC)","2018","22810"
"Sena Madureira (AC)","2018","45177"
"Tarauacá (AC)","2018","41976"
"Xapuri (AC)","2018","19048"
"Porto Acre (AC)","2018","18180"
"Alvarães (AM)","2018","15860"
"Amaturá (AM)","2018","11332"
"Anamã (AM)","2018","13269"
"Anori (AM)","2018","20538"
"Apuí (AM)","2018","21583"
"Atalaia do Norte (AM)","2018","19438"
"Autazes (AM)","2018","38830"
"Barcelos (AM)","2018","27364"
"Barreirinha (AM)","2018","31593"
"Benjamin Constant (AM)","2018","42020"
"Beruri (AM)","2018","19258"
"Boa Vista do Ramos (AM)","2018","18781"
"Boca do Acre (AM)","2018","33976"
"Borba (AM)","2018","40565"
"Caapiranga (AM)","2018","12877"
"Canutama (AM)","2018","15450"
"Carauari (AM)","2018","28076"
"Careiro (AM)","2018","37384"
"Careiro da Várzea (AM)","2018","29595"
"Coari (AM)","2018","84272"
"Codajás (AM)","2018","28100"
"Eirunepé (AM)","2018","34840"
"Envira (AM)","2018","19668"
"Fonte Boa (AM)","2018","18221"
"Guajará (AM)","2018","16416"
"Humaitá (AM)","2018","54001"
"Ipixuna (AM)","2018","28933"
"Iranduba (AM)","2018","47571"
"Itacoatiara (AM)","2018","99955"
